Time,Open,High,Low,Close,,,,,,,,
1766342400000000,88272.82,88272.83,88272.82,88272.82,,,,,,,,
1766342460000000,88272.82,88272.83,88272.34,88272.34,,,,,,,,
1766342520000000,88272.35,88272.35,88255.17,88267.8,,,,,,,,
1766342580000000,88267.81,88278.53,88267.8,88278.52,,,,,,,,
1766342640000000,88278.53,88278.53,88278.52,88278.53,,,,,,,,
1766342700000000,88278.53,88290.86,88278.52,88290.86,,,,,,,,
1766342760000000,88290.86,88323.82,88290.85,88323.81,,,,,,,,
1766342820000000,88323.81,88323.82,88300.92,88317.89,,,,,,,,
1766342880000000,88317.89,88327.9,88317.89,88327.89,,,,,,,,
1766342940000000,88327.89,88327.89,88290.85,88292.63,,,,,,,,
1766343000000000,88292.64,88300.46,88292.63,88300.46,,,,,,,,
1766343060000000,88300.46,88300.46,88300.45,88300.46,,,,,,,,
1766343120000000,88300.46,88301,88270.26,88301,,,,,,,,
1766343180000000,88301,88337.64,88300.99,88337.64,,,,,,,,
1766343240000000,88337.63,88405.43,88333.27,88347.63,,,,,,,,
1766343300000000,88347.64,88429.51,88347.64,88400,,,,,,,,
1766343360000000,88400.01,88402.28,88400,88400.01,,,,,,,,
1766343420000000,88400.01,88451.84,88400,88451.83,,,,,,,,
1766343480000000,88451.84,88451.84,88441.01,88441.02,,,,,,,,
1766343540000000,88441.02,88451.84,88441.01,88445.09,,,,,,,,
1766343600000000,88445.08,88500,88445.08,88473.7,,,,,,,,
1766343660000000,88473.69,88510.15,88473.69,88489.7,,,,,,,,
1766343720000000,88489.7,88489.7,88446,88446.01,,,,,,,,
1766343780000000,88446.01,88462.82,88391.15,88391.15,,,,,,,,
1766343840000000,88391.16,88406.89,88326.01,88406.88,,,,,,,,
1766343900000000,88406.88,88450,88406.88,88437.02,,,,,,,,
1766343960000000,88437.03,88437.03,88420,88435.91,,,,,,,,
1766344020000000,88435.91,88435.92,88371.5,88371.51,,,,,,,,
1766344080000000,88371.5,88398.32,88371.5,88398.31,,,,,,,,
1766344140000000,88398.32,88398.32,88361.15,88385.89,,,,,,,,
1766344200000000,88385.88,88385.89,88370.31,88370.31,,,,,,,,
1766344260000000,88370.31,88421.21,88370.31,88394.69,,,,,,,,
1766344320000000,88394.68,88412.36,88394.68,88404.04,,,,,,,,
1766344380000000,88404.05,88404.05,88379.28,88379.28,,,,,,,,
1766344440000000,88379.28,88379.29,88379.28,88379.28,,,,,,,,
1766344500000000,88379.29,88390,88379.27,88390,,,,,,,,
1766344560000000,88390,88390,88381.16,88390,,,,,,,,
1766344620000000,88389.99,88390,88389.99,88390,,,,,,,,
1766344680000000,88390,88390,88389.99,88390,,,,,,,,
1766344740000000,88389.99,88390,88389.99,88390,,,,,,,,
1766344800000000,88389.99,88390,88376.99,88377,,,,,,,,
1766344860000000,88376.99,88377,88370.01,88373.56,,,,,,,,
1766344920000000,88373.57,88382.37,88367.5,88367.51,,,,,,,,
1766344980000000,88367.5,88367.5,88352,88358.68,,,,,,,,
1766345040000000,88358.68,88363.51,88358.67,88363.51,,,,,,,,
1766345100000000,88363.51,88363.51,88363.5,88363.51,,,,,,,,
1766345160000000,88363.51,88363.51,88363.5,88363.51,,,,,,,,
1766345220000000,88363.5,88363.51,88363.5,88363.51,,,,,,,,
1766345280000000,88363.5,88363.51,88323.49,88323.5,,,,,,,,
1766345340000000,88323.5,88358.46,88323.49,88358.45,,,,,,,,
1766345400000000,88358.45,88358.45,88328.45,88328.46,,,,,,,,
1766345460000000,88328.45,88328.46,88309.06,88310.09,,,,,,,,
1766345520000000,88310.09,88310.1,88288.6,88309.99,,,,,,,,
1766345580000000,88309.99,88310,88274.76,88274.76,,,,,,,,
1766345640000000,88274.76,88274.77,88201.58,88261.17,,,,,,,,
1766345700000000,88261.18,88279.33,88258.44,88258.44,,,,,,,,
1766345760000000,88258.44,88318.83,88258.44,88318.82,,,,,,,,
1766345820000000,88318.83,88350.67,88318.83,88336.49,,,,,,,,
1766345880000000,88336.49,88340,88327.07,88340,,,,,,,,
1766345940000000,88339.99,88387.77,88333.7,88370.64,,,,,,,,
1766346000000000,88370.64,88377.57,88360.19,88377.57,,,,,,,,
1766346060000000,88377.57,88424.6,88377.56,88416.52,,,,,,,,
1766346120000000,88416.52,88424.6,88416.51,88424.59,,,,,,,,
1766346180000000,88424.59,88424.6,88416.52,88420.95,,,,,,,,
1766346240000000,88420.95,88420.95,88420.94,88420.95,,,,,,,,
1766346300000000,88420.95,88420.95,88411.1,88411.11,,,,,,,,
1766346360000000,88411.11,88411.11,88374.19,88374.2,,,,,,,,
1766346420000000,88374.2,88374.2,88373.18,88373.18,,,,,,,,
1766346480000000,88373.18,88373.19,88373.18,88373.19,,,,,,,,
1766346540000000,88373.18,88391.16,88359.99,88391.16,,,,,,,,
1766346600000000,88391.16,88428.27,88391.15,88411.94,,,,,,,,
1766346660000000,88411.93,88550,88411.93,88550,,,,,,,,
1766346720000000,88549.99,88550,88488.39,88507.01,,,,,,,,
1766346780000000,88507,88571.34,88507,88556.27,,,,,,,,
1766346840000000,88556.27,88600,88516.66,88545.72,,,,,,,,
1766346900000000,88545.71,88588.37,88491.62,88494.01,,,,,,,,
1766346960000000,88494,88511.97,88494,88509.21,,,,,,,,
1766347020000000,88509.21,88509.21,88502.23,88509.19,,,,,,,,
1766347080000000,88509.19,88509.2,88483.99,88484,,,,,,,,
1766347140000000,88484,88484.01,88484,88484.01,,,,,,,,
1766347200000000,88484.01,88484.01,88484,88484.01,,,,,,,,
1766347260000000,88484.01,88500,88473.46,88500,,,,,,,,
1766347320000000,88500,88500,88464.36,88464.36,,,,,,,,
1766347380000000,88464.37,88484.76,88431.14,88431.14,,,,,,,,
1766347440000000,88431.15,88458.8,88431.14,88458.79,,,,,,,,
1766347500000000,88458.79,88458.8,88434.62,88440.94,,,,,,,,
1766347560000000,88440.94,88440.94,88440.93,88440.94,,,,,,,,
1766347620000000,88440.93,88440.94,88440.93,88440.93,,,,,,,,
1766347680000000,88440.94,88440.94,88437.43,88437.44,,,,,,,,
1766347740000000,88437.43,88437.43,88379.64,88379.65,,,,,,,,
1766347800000000,88379.64,88411.97,88376.67,88382.44,,,,,,,,
1766347860000000,88382.43,88382.44,88324.22,88348.07,,,,,,,,
1766347920000000,88348.08,88348.08,88316.45,88316.45,,,,,,,,
1766347980000000,88316.45,88325.07,88315.66,88325.07,,,,,,,,
1766348040000000,88325.07,88325.07,88312.31,88312.32,,,,,,,,
1766348100000000,88312.32,88354.7,88312.32,88328.22,,,,,,,,
1766348160000000,88328.22,88328.22,88322.01,88322.01,,,,,,,,
